Name,traffic_april8,traffic_april9,traffic_april10,traffic_april11,traffic_april12,traffic_april13
CYPRESS AV,3910.75,3012.75,5537.0,5536.5,5432.0,5703.0
5 AV/53 ST,12825.0,10323.0,51630.5,53881.5,55479.0,56423.5
NEWKIRK PLAZA,15294.25,13602.75,17830.0742915,19363.25,19259.75,19978.5
HUNTS POINT AV,10648.25,8327.25,17013.5,17663.0734003,17202.0,17638.25
SUTTER AV,5609.5,4687.25,7360.75,7524.5,7049.0,7471.5
7 AV,14372.0,12064.75,17708.75,18591.25,19231.75,19542.75
51 ST,21815.0,17155.0,43094.0,45791.0,46721.0,48342.0
149/GRAND CONC,13315.0,10133.0,18337.0,19635.0,18403.0,17794.0
NASSAU AV,29.0,16.0,12631.0,13385.0,13392.0,13608.0
BROAD ST,3828.75,2881.5,10275.25,10274.25,10114.5,10693.25
GRAND-NEWTOWN,20417.0,16894.0,28103.0,25098.0,24858.0,25503.0
EASTCHSTER/DYRE,47.75,12.25,8477.5,8979.0,8912.5,8858.25
HIGH ST,19173.0,18495.0,21792.0,24508.0,19346.0,22018.0
ROCKAWAY AV,5787.0,5020.75,7875.25,8371.0,8140.5,8281.25
ATLANTIC AV,1632.0,1221.0,2268.0,2140.0,2017.0,2192.0
GRAND ARMY PLAZ,4991.0,4153.0,9421.0,9357.0,9532.0,9872.0
RECTOR ST,10876.0,8061.0,15175.0,15092.0,15779.0,18037.0
34 ST-PENN STA,158059.0,144778.5,302583.961121,310018.847335,312774.128049,321709.448235
CROWN HTS-UTICA,44305.0,32821.0,50682.0,50570.0,49376.0,51566.0
VAN SICLEN AV,3707.5,3149.5,5431.5,5610.75,5420.25,5357.0
BEVERLEY ROAD,2812.0,2494.0,5519.0,5742.0,6416.0,5771.0
18 AV,3621.0,3939.0,5891.0,5185.0,5143.0,7024.0
BRIARWOOD,4359.0,3534.0,7574.0,7660.0,7586.0,7168.0
135 ST,5472.5,4767.75,8014.25,8545.25,8721.25,8879.0
CORTELYOU RD,6409.0,5229.0,7605.0,7434.0,7503.0,7728.0
LORIMER ST,6098.25,5010.25,7659.25,8484.25,8443.25,8665.0
21 ST-QNSBRIDGE,10875.0,8901.0,16314.0,16858.0,17195.0,17575.0
VAN SICLEN AVE,4579.25,3886.25,5648.75,5879.0,5758.75,5910.5
SUTPHIN-ARCHER,25315.0,20356.0,41557.0,42026.0,40165.8968562,42945.8
67 AV,6798.0,5803.0,11940.0,11730.0,11911.0,13037.0
BAY RIDGE AV,7178.0,5544.0,10622.0,10862.0,10594.0,10718.0
NECK RD,3369.0,2911.0,5079.0,5173.0,5095.0,5441.0
CYPRESS HILLS,53.0,28.0,2026.0,2260.0,2147.0,2149.0
68ST-HUNTER CO,18050.25,16317.25,34383.25,35748.0,34875.25,35988.0
14TH STREET,11322.7443609,8058.04511278,17546.9047619,18289.5238095,15940.8017508,15849.854623
W 8 ST-AQUARIUM,2605.0,4069.0,5307.0,6360.0,4296.0,6101.0
42 ST-BRYANT PK,32621.0,25287.0,83450.0,88678.0,89610.0,92081.0
GRANT AV,7654.0,6155.0,11114.0,11343.0,10884.0,11114.0
BEACH 67 ST,2876.0,2504.0,4105.0,4513.0,4151.0,4240.0
JFK JAMAICA CT1,12627.5309306,12888.3808316,17403.5,16991.5,15991.75,17775.1285338
71 ST,4213.0,3600.0,8215.0,7893.0,7835.0,7912.0
ALLERTON AV,5246.0,4090.5,7184.0,7684.0,7468.5,7183.75
NEWARK C,81.9047619048,3233.28320802,6358.29573935,6060.83262014,6346.67786934,7728.19055089
PRESIDENT ST,4437.0,3341.0,6856.0,6800.0,7030.0,7245.0
116 ST-COLUMBIA,13275.75,11416.75,23665.75,25126.25,25481.25,26715.75
KOSCIUSZKO ST,5919.5,5237.5,6877.5,6614.25,6679.25,7040.0
3 AV,13696.0,9865.0,12820.0,13599.0,12941.0,13916.0
MARCY AV,14458.0,13463.0,22781.25,21992.0,22251.5,24889.25
8 ST-NYU,28211.0,22860.0,28963.0,32656.0,31598.3333333,34905.6666667
TIMES SQ-42 ST,19215.0,14446.0,35525.0,36918.0,36954.0,39235.0
75 ST-ELDERTS,150.0,57.0,4762.0,4991.0,4901.0,4916.0
21 ST,0.0,2.0,3414.0,3710.0,3626.75,3812.75
GROVE STREET,22172.1889492,18216.6701922,39323.8422773,41156.6220789,41092.1966959,41758.8095238
QUEENS PLAZA,9363.75,7251.5,18368.25,19181.5,19883.0,19204.0
CASTLE HILL AV,9097.0,7155.0,12801.0,12070.0,12835.0,12612.0
FRANKLIN AV,9742.5,8848.0,11579.75,11755.0,11775.75,12236.0
ATL AV-BARCLAY,71648.0,51336.0,73798.0,76369.0,73612.0,75950.0
181 ST,13178.75,11724.25,18181.0,18410.75,18407.75,19273.0
47-50 STS ROCK,40413.0,30335.0,119569.0,122870.0,122765.0,134531.0
JAY ST-METROTEC,3692.0,3011.0,7032.0,7225.0,6906.0,7553.0
104 ST,1364.0,1026.0,2494.0,2499.0,2380.0,2521.0
PENNSYLVANIA AV,19.0,0.0,4873.0,5384.0,5236.0,5373.0
GRAHAM AV,13574.0,10716.0,15852.0,15858.0,15515.0,16180.0
86 ST-2 AVE,32278.75,24840.0,39239.0,39746.75,40767.75,41853.25
RALPH AV,6257.5,5499.75,8080.0,8295.75,8140.75,8240.5
PARKSIDE AV,5655.5,5035.25,9822.25,10127.75,9744.75,10299.75
HARRISON,6444.52380952,5423.83458647,17046.1602544,17587.8219555,17157.5065228,17440.7017544
DITMAS AV,2935.5,3076.25,5139.25,4800.5,4710.75,6174.25
CENTRAL PK N110,11283.0,10188.0,16588.0,17124.0,16512.0,16688.0
72 ST,11297.0,13158.0,17730.0,18443.0,17178.0,18508.0
BEVERLY RD,3200.0,2584.0,4897.0,5106.0,4942.0,4926.0
175 ST,13559.0,11076.0,19930.0,20099.0,19681.0,20161.0
KINGSBRIDGE RD,9588.25,8080.25,12463.6983719,13254.0,12903.75,13234.5
VERNON-JACKSON,18747.0,17119.0,26785.0,27947.0,26916.0,27700.0
WILSON AV,6801.0,5885.0,7989.0,7930.0,7884.0,7741.0
57 ST,15345.75,13750.75,27300.0,29155.0,28187.5,30679.75
GREENPOINT AV,30.0,4.0,14964.0,15982.0,16011.0,16681.0
72 ST-2 AVE,27789.0,21815.75,44683.3214286,44683.4285714,47401.5,48582.5
HUNTERS PT AV,3543.75,3119.75,13747.5,13348.75,13412.5,13450.5
14 ST,29834.5,24008.75,33009.5,35592.5,34184.0,35659.7140556
ROCKAWAY PARK B,1010.5,849.25,1476.5,1559.0,1415.5,1492.75
NORWOOD 205 ST,10018.0,8444.0,14267.25,14806.75,14633.25,14668.75
PARSONS BLVD,7577.0,6123.0,11423.0,11714.0,11494.0,11590.0
INWOOD-207 ST,9290.75,7672.75,13216.5,13596.75,13379.75,13600.75
