Name;Y;X;Entrance
25th St;40.660397;-73.998091;Stair
36th St;40.655144;-74.003549;Stair
45th St;40.648939;-74.010006;Stair
53rd St;40.645069;-74.014034;Stair
59th St;40.641362;-74.017881;Stair
77th St;40.629742;-74.02551;Stair
86th St;40.622687;-74.028398;Stair
95th St;40.616622;-74.030876;Stair
9th St;40.670847;-73.988302;Stair
Atlantic Av-Barclays Ctr;40.683666;-73.97881;Elevator
Bay Ridge Av;40.634967;-74.023377;Stair
DeKalb Av;40.690635;-73.981824;Elevator
DeKalb Av;40.690635;-73.981824;Stair
DeKalb Av;40.690635;-73.981824;Easement
Pacific St;40.683666;-73.97881;Stair
Prospect Av;40.665414;-73.992872;Stair
Union St;40.677316;-73.98311;Stair
Grand Central;40.752769;-73.979189;Easement
Grand Central;40.752769;-73.979189;Escalator
Grand Central;40.752769;-73.979189;Stair
Times Square;40.755983;-73.986229;Stair
14th St;40.738228;-73.996209;Stair
23rd St;40.742878;-73.992821;Stair
2nd Av;40.723402;-73.989938;Stair
34th St;40.749719;-73.987823;Elevator
34th St;40.749719;-73.987823;Stair
34th St;40.749719;-73.987823;Easement
42nd St;40.754222;-73.984569;Easement
42nd St;40.754222;-73.984569;Stair
47-50th Sts Rockefeller Center;40.758663;-73.981329;Easement
47-50th Sts Rockefeller Center;40.758663;-73.981329;Elevator
47-50th Sts Rockefeller Center;40.758663;-73.981329;Stair
4th Av;40.670272;-73.989779;Door
57th St;40.763972;-73.97745;Stair
7th Av;40.666271;-73.980305;Stair
Bergen St;40.686145;-73.990862;Stair
Broadway-Lafayette St;40.725297;-73.996204;Stair
Carroll St;40.680303;-73.995048;Stair
Church Av;40.644041;-73.979678;Stair
Delancey St;40.718611;-73.988114;Stair
East Broadway;40.713715;-73.990173;Stair
Fort Hamilton Parkway;40.650782;-73.975776;Stair
Fort Hamilton Parkway;40.650782;-73.975776;Door
Grand St;40.718267;-73.993753;Stair
Prospect Park-15 St;40.660365;-73.979493;Stair
Smith-9th St;40.67358;-73.995959;Door
York St;40.699743;-73.986885;Stair
21st St;40.754203;-73.942836;Elevator
21st St;40.754203;-73.942836;Escalator
21st St;40.754203;-73.942836;Stair
Lexington Av;40.764627;-73.96611;Elevator
Lexington Av;40.764627;-73.96611;Escalator
Lexington Av;40.764627;-73.96611;Stair
Roosevelt Island;40.759145;-73.95326;Door
103rd St;40.796092;-73.961454;Stair
116th St;40.805085;-73.954882;Stair
125th St;40.811109;-73.952343;Stair
135th St;40.817894;-73.947649;Stair
145th St;40.824783;-73.944216;Stair
14th St;40.740893;-74.00169;Easement
14th St;40.740893;-74.00169;Stair
155th St;40.830518;-73.941514;Stair
163rd St - Amsterdam Av;40.836013;-73.939892;Stair
168th St - Washington Heights;40.840719;-73.939561;Stair
175th St;40.847391;-73.939704;Elevator
175th St;40.847391;-73.939704;Stair
181st St;40.851695;-73.937969;Door
181st St;40.851695;-73.937969;Stair
190th St;40.859022;-73.93418;Door
190th St;40.859022;-73.93418;Stair
23rd St;40.745906;-73.998041;Stair
34th St;40.752287;-73.993391;Elevator
34th St;40.752287;-73.993391;Stair
42nd St;40.757308;-73.989735;Easement
42nd St;40.757308;-73.989735;Stair
50th St;40.762456;-73.985984;Easement
50th St;40.762456;-73.985984;Elevator
50th St;40.762456;-73.985984;Escalator
50th St;40.762456;-73.985984;Stair
59th St;40.768296;-73.981736;Easement
59th St;40.768296;-73.981736;Elevator
59th St;40.768296;-73.981736;Escalator
59th St;40.768296;-73.981736;Stair
72nd St;40.775594;-73.97641;Stair
81st St - Museum of Natural History;40.781433;-73.972143;Stair
81st St - Museum of Natural History;40.781433;-73.972143;Door
86th St;40.785868;-73.968916;Stair
96th St;40.791646;-73.964699;Stair
Broadway-Nassau;40.710197;-74.007691;Easement
Canal St;40.720824;-74.005229;Stair
Cathedral Parkway-110th St;40.800605;-73.958158;Stair
Chambers St;40.714111;-74.008585;Stair
Dyckman St-200th St;40.865491;-73.927271;Easement
Dyckman St-200th St;40.865491;-73.927271;Stair
High St;40.699337;-73.990531;Stair
Inwood - 207th St;40.868072;-73.919899;Elevator
Inwood - 207th St;40.868072;-73.919899;Stair
Spring St;40.726227;-74.003739;Stair
West 4th St;40.732338;-74.000495;Elevator
West 4th St;40.732338;-74.000495;Stair
World Trade Center;40.712582;-74.009781;Stair
Jamaica-Van Wyck;40.702566;-73.816859;Elevator
Jamaica-Van Wyck;40.702566;-73.816859;Stair
Parsons Blvd-Archer Av - Jamaica Center;40.702147;-73.801109;Elevator
Parsons Blvd-Archer Av - Jamaica Center;40.702147;-73.801109;Escalator
Parsons Blvd-Archer Av - Jamaica Center;40.702147;-73.801109;Stair
Sutphin Blvd-Archer Av - JFK;40.700486;-73.807969;Stair
30 Av-Grand Av;40.766779;-73.921479;Stair
36 Av-Washington Av;40.756804;-73.929575;Stair
39 Av-Beebe Av;40.752882;-73.932755;Stair
Astoria Blvd-Hoyt Av;40.770258;-73.917843;Stair
Broadway;40.76182;-73.925508;Stair
Ditmars Blvd;40.775036;-73.912034;Stair
7th Av;40.67705;-73.972367;Stair
Atlantic Av;40.68446;-73.97689;Easement
Av H;40.62927;-73.961639;Door
Av H;40.62927;-73.961639;Stair
Av J;40.625039;-73.960803;Door
Av J;40.625039;-73.960803;Stair
Av M;40.617618;-73.959399;Door
Av U;40.5993;-73.955929;Door
Beverly Rd;40.644031;-73.964492;Door
Brighton Beach;40.577621;-73.961376;Escalator
Brighton Beach;40.577621;-73.961376;Stair
Church Av;40.650527;-73.962982;Door
Cortelyou Rd;40.640927;-73.963891;Door
Kings Highway;40.60867;-73.957734;Door
Neck Rd;40.595246;-73.955161;Door
Newkirk Av;40.635082;-73.962793;Door
Ocean Parkway;40.576312;-73.968501;Stair
Parkside Av;40.655292;-73.961495;Door
Parkside Av;40.655292;-73.961495;Stair
